Step,Mode,Time,SC:10,TA:10,GA:10,SP:10,GC:10,CC:10,SC_d:100,TA_d:100,GA_d:100,SP_d:100,CC_d:100
0,1,0,25.52846764,6.150500588,4.918093711,19.15022411,9.578620275,14.94997752,313.9339275,1559.978644,998.0348277,3877.684843,3772.976979
0,1,0.4,24.40327682,3.824521732,4.841526125,19.16598934,9.587811238,14.96453677,297.7541479,894.4712253,914.7531085,3864.466757,3772.136812
0,1,0.8,23.2659436,2.3967167,4.638704599,19.14957694,9.586942104,14.96343082,281.6739028,500.8458356,740.9488022,3796.565482,3767.707572
0,1,1.2,22.18709335,1.894116974,4.387796945,19.11342243,9.58554354,14.96230775,266.4864116,282.6425977,563.2334309,3661.010938,3752.921428
0,1,1.6,21.18876918,3.038943909,4.173116887,19.05719391,9.583183768,14.96113486,252.1383845,161.5563986,411.8795996,3471.53982,3722.280624
0,1,2,20.32553802,6.920756448,4.143881302,18.99044551,9.579547126,14.95986314,238.5806659,94.29174765,293.8012589,3246.686748,3672.805195
1,2,0.066666667,20.35481411,8.244668865,4.172793492,18.98038953,9.578844696,14.95964828,238.5966676,95.21176272,278.413622,3208.962062,3663.078491
1,2,0.133333333,20.38491277,9.607222152,4.217194093,18.97036332,9.578075743,14.95941796,238.6135024,96.17948681,263.2790394,3168.908355,3652.346223
1,2,0.2,20.41430297,10.93908494,4.275174405,18.96106162,9.57727931,14.9591833,238.6303281,97.14649489,249.1513324,3128.575598,3641.120884
1,2,0.266666667,20.442945,12.23845434,4.347282198,18.9527283,9.5764564,14.9589438,238.6471443,98.11273052,236.0416898,3088.014961,3629.367993
1,2,0.333333333,20.47084434,13.50548892,4.433199473,18.94557199,9.575610616,14.9586992,238.6639511,99.07818116,223.89794,3047.295569,3617.08485
2,3,0.4,19.76801061,15.36484125,4.991419334,18.93158686,9.570615982,14.95720326,226.4722424,60.91421906,164.6358596,2814.562821,3537.319847
2,3,0.8,19.14601783,18.04924663,5.692362344,18.97098195,9.565839233,14.95545322,214.3206718,38.11805602,117.1292722,2572.92782,3437.131166
2,3,1.2,18.60750492,20.04549654,6.495666542,19.07474547,9.562830972,14.95357559,202.832305,25.27280517,82.62093101,2340.166142,3322.653821
2,3,1.6,18.13193671,21.24253188,7.337647998,19.24770168,9.56299528,14.95168339,191.9686951,17.91927488,58.14555093,2120.112968,3196.626294
2,3,2,17.7086201,21.85162623,8.1677794,19.48930401,9.567715152,14.94994879,181.6943545,13.64163537,41.07179888,1914.979875,3061.787257
3,4,0.066666667,17.77906363,23.6549558,8.308665587,19.5340184,9.568994186,14.94970468,181.7136653,14.39133045,38.95809558,1884.02509,3039.779319
3,4,0.133333333,17.8529362,25.54881972,8.474857037,19.58303543,9.570494812,14.94945865,181.7339791,15.17992932,36.90567277,1851.850563,3016.470403
3,4,0.2,17.92647517,27.43687727,8.65876872,19.63421886,9.572155992,14.94922452,181.7542793,15.96797182,35.01666337,1820.091272,2993.02663
3,4,0.266666667,17.99959153,29.31702098,8.861487385,19.68798255,9.573997705,14.9490044,181.7745652,16.75541401,33.29286398,1788.783881,2969.447316
3,4,0.333333333,18.07221407,31.18741688,9.082972061,19.74462437,9.576031552,14.9487998,181.7948363,17.5422461,31.72578755,1757.939158,2945.740831
4,5,0.4,17.68944485,27.77463427,10.22854658,20.12161197,9.591848094,14.94801826,172.5463572,13.37525363,24.24568128,1590.944944,2808.761003
4,5,0.8,17.33268535,25.55146286,11.15080946,20.59839322,9.617118987,14.94811472,163.3206706,10.73247356,18.34094839,1430.54612,2662.534503
4,5,1.2,17.01576345,24.12185238,11.87519215,21.1354048,9.65243537,14.94954518,154.5922104,9.101034224,14.0644638,1285.119878,2516.033233
4,5,1.6,16.73344236,23.14983504,12.45939935,21.71684713,9.698499862,14.95273073,146.333278,8.034001308,11.01176895,1153.666505,2370.81987
4,5,2,16.48184115,22.45044832,12.93982944,22.33107331,9.755693349,14.95811187,138.5173834,7.282292498,8.839279078,1035.120353,2228.201129
5,6,0.066666667,16.56890122,24.14942972,13.02105938,22.43094412,9.76583231,14.9592064,138.5343355,7.856466816,8.579905668,1017.516915,2205.946714
5,6,0.133333333,16.66051732,25.93971684,13.12417106,22.53699448,9.776789967,14.96042706,138.5521685,8.46044585,8.348567189,999.2820978,2182.61736
5,6,0.2,16.75205775,27.73093353,13.24478364,22.64418002,9.788035686,14.9617181,138.5699904,9.064007978,8.156702173,981.3418174,2159.387843
5,6,0.266666667,16.84345743,29.5219941,13.38404846,22.75283367,9.799594923,14.9630869,138.5878001,9.667120284,8.004732214,963.7168922,2136.269574
5,6,0.333333333,16.9346514,31.31165919,13.54201388,22.86323676,9.81147656,14.96453673,138.6055975,10.2697754,7.890594525,946.4097326,2113.268056
6,7,0.4,16.70165324,27.49400708,14.32511027,23.52536505,9.885639664,14.97447575,131.5653569,8.439591826,7.219325485,853.5993826,1984.594186
6,7,0.8,16.48655537,25.00475066,14.87594058,24.2639875,9.975702973,14.98826333,124.538627,7.214970283,6.418866893,765.6681555,1853.945262
6,7,1.2,16.29772649,23.45608291,15.2463216,25.02583863,10.07831054,15.00591717,117.8873904,6.407263162,5.676185918,686.784151,1728.699505
6,7,1.6,16.13183127,22.45414486,15.50238525,25.7974009,10.19327001,15.02788742,111.5906292,5.830842154,5.044816939,616.0018255,1609.185935
6,7,2,15.98652477,21.78392688,15.68239934,26.57035355,10.32015043,15.05459161,105.62888,5.389280993,4.524284027,552.5033828,1495.595511
7,8,0.066666667,16.08605666,23.43952672,15.71839494,26.69256227,10.34134848,15.05930304,105.6413623,5.827264588,4.465892323,543.0979079,1478.187716
7,8,0.133333333,16.19098689,25.18715385,15.77405797,26.8214211,10.36394638,15.0643932,105.6544924,6.287981517,4.426947073,533.3606058,1460.015409
7,8,0.2,16.29603186,26.93894649,15.84741727,26.95071068,10.38682928,15.06961606,105.6676133,6.748378533,4.409322685,523.7861497,1441.995687
7,8,0.266666667,16.40114531,28.69432476,15.93967497,27.08071338,10.41001986,15.07498364,105.6807242,7.208430377,4.41324272,514.3860155,1424.14081
7,8,0.333333333,16.50626884,30.45236327,16.05092367,27.21170412,10.43352421,15.08049999,105.6938249,7.668131394,4.437588748,505.161501,1406.453672
8,8,0.4,16.36827455,26.8362961,16.58613051,27.97733395,10.57362451,15.11489911,100.3215832,6.34318314,4.435482007,455.7888124,1308.866318
8,9,0.8,16.24467515,24.50363413,16.90851221,28.80221857,10.73220705,15.15668456,94.95772312,5.451877019,4.188311154,409.1217411,1211.94604
8,9,1.2,16.13972634,23.0795996,17.07946502,29.62981708,10.90199268,15.20455018,89.87859719,4.8581428,3.863293078,367.3036097,1120.911317
8,9,1.6,16.05104797,22.18699319,17.16071525,30.44950295,11.08241996,15.25881204,85.06853928,4.430467784,3.541633802,329.7944684,1035.603304
8,9,2,15.97703054,21.61689392,17.18747286,31.2553834,11.27277242,15.31974488,80.51303705,4.100266517,3.24997811,296.1439295,955.8293286
9,10,0.066666667,16.08743871,23.27558449,17.20102284,31.38149386,11.30381156,15.33005174,80.52071056,4.434109958,3.218258511,291.1588608,943.7158643
9,10,0.133333333,16.20396176,25.02835145,17.23341539,31.51413793,11.33671157,15.3410761,80.52878,4.785273636,3.201183563,285.9980558,931.0976515
9,10,0.2,16.32074564,26.78728103,17.28387692,31.64689459,11.36983871,15.35227711,80.53684141,5.136185681,3.199553501,280.9239501,918.6121725
9,10,0.266666667,16.4377569,28.55206911,17.35365728,31.78002744,11.40321031,15.36366968,80.54489415,5.48682622,3.2135294,275.942931,906.269102
9,10,0.333333333,16.55494058,30.32194748,17.44287655,31.91381291,11.43683065,15.37525798,80.55293805,5.8371908,3.242300173,271.0559692,894.0699128
10,11,0.4,16.481324,26.82395341,17.86283762,32.68939032,11.6333009,15.44513297,76.44728206,4.830330475,3.286994548,244.9141787,827.2510957
10,11,0.8,16.42041001,24.58963748,18.08084456,33.51510797,11.84880632,15.52572705,72.34710107,4.152595886,3.130951743,220.2079925,761.6762008
10,11,1.2,16.37352313,23.25000751,18.16233533,34.33513025,12.07293497,15.61376403,68.46376756,3.700596925,2.904352231,198.0513925,700.7748158
10,11,1.6,16.33877962,22.43397278,18.16698074,35.14025124,12.30506863,15.70940289,64.78552422,3.374669706,2.672915572,178.1532794,644.2875487
10,11,2,16.31496346,21.93480378,18.12845463,35.9257815,12.54446689,15.81276623,61.30146892,3.122793595,2.459464636,160.277261,591.9590031
11,12,0.066666667,16.43567121,23.63056358,18.13286105,36.04819098,12.5830154,15.82988204,61.30488307,3.376969498,2.436343776,157.6268221,584.0559252
11,12,0.133333333,16.56314297,25.42364118,18.15617207,36.17683053,12.62375311,15.84809575,61.30846971,3.64432216,2.424358221,154.8826795,575.8340497
11,12,0.2,16.69098175,27.22420765,18.19810421,36.30548026,12.66465078,15.86650777,61.31204909,3.911472965,2.424066312,152.1845774,567.7090112
11,12,0.266666667,16.81916058,29.03209671,18.25995868,36.43440387,12.70572054,15.88513415,61.3156206,4.178405967,2.435589508,149.5361448,559.6875597
11,12,0.333333333,16.94762403,30.84659579,18.34187405,36.563885,12.74696558,15.9039788,61.31918409,4.445117592,2.458313207,146.9381354,551.7704439
12,13,0.4,16.91924477,27.36351766,18.72403724,37.31334536,12.98549363,16.01561447,58.17949528,3.677795293,2.495931711,133.0465714,508.5960683
12,13,0.8,16.90283268,25.1580633,18.9069565,38.1090313,13.24276829,16.1408011,55.04381096,3.161084528,2.379431769,119.9128216,466.5331839
12,13,1.2,16.8974987,23.8559859,18.95854823,38.89687446,13.50614331,16.27395779,52.0739032,2.816277151,2.208240426,108.1164014,427.7408487
12,13,1.6,16.90159852,23.08200684,18.9384854,39.66817526,13.77507102,16.41511622,49.26091282,2.567498002,2.032749652,97.50075256,391.9917496
12,13,2,16.91412278,22.6266016,18.88020275,40.41872181,14.0488883,16.56428043,46.59661957,2.375140753,1.870561252,87.94307985,359.072011
13,14,36.5,34.15436364,258.8747808,200.1542858,553.7434394,210.9412296,189.5907829,46.31842672,88.76764258,55.67374093,198.5749778,175.6375365
13,14,73,37.72468311,287.6203038,228.0596085,818.728364,385.3656626,512.2250068,45.81061372,142.2882339,90.35750831,340.3342151,320.457309
13,14,109.5,40.15127825,296.3433783,236.2459733,897.0120849,440.8516781,655.8588326,45.16384813,174.24921,111.0831142,425.255097,407.4409941
13,14,146,42.19275607,298.6923705,238.5334509,920.2456859,457.4644089,702.5833111,44.38553236,192.6317281,123.0194485,474.4082469,458.0164665
13,14,182.5,44.10836641,299.5890809,239.2897858,926.9175834,462.2730945,716.8597002,43.47199165,202.3811947,129.3696685,500.8600076,485.5128048
13,14,219,45.96264326,300.2507386,239.8421076,929.8963691,464.0492241,721.306912,42.41596186,206.5264372,132.0957559,512.6170615,498.1013639
13,14,255.5,47.80116325,301.5201436,240.7521333,932.7541931,465.4335318,723.7167364,41.21021754,206.9333789,132.4065077,514.6141877,500.8202411
13,14,292,49.65090275,303.8634035,242.510326,937.9398312,467.6564844,726.585446,39.84830391,204.7119859,131.0210766,509.78865,496.6695356
13,14,328.5,51.52265832,307.4188282,245.2343142,946.7148982,471.571055,731.6208836,38.32581069,200.5964424,128.415152,500.0835663,487.6342811
13,14,365,53.41881288,312.1674148,248.9094618,959.2402504,477.3903159,739.5665558,36.64195419,195.0145187,124.8658252,486.6299159,474.8691536
